"","GISJOIN","totalPopulation","freeAfAmPopulation","slavePopulation","year","freeTotalPopulation","slavePercentage","freeAfAmPercentage","freeTotalPercentage","slaveDensity","freeAfAmDensity","totalDensity","freeTotalDensity"
"1","G0900010",36290,318,799,1790,35491,2.2,0.88,97.8,1.24,0.49,56.15,54.91
"2","G0900030",38149,395,256,1790,37893,0.67,1.04,99.33,0.36,0.55,53.17,52.81
"3","G0900050",38635,313,203,1790,38432,0.53,0.81,99.47,0.2,0.31,37.67,37.47
"4","G0900070",18828,144,192,1790,18636,1.02,0.76,98.98,0.53,0.4,52.29,51.76
"5","G0900090",30703,434,387,1790,30316,1.26,1.41,98.74,0.66,0.74,52.02,51.36
"6","G0900110",32918,732,581,1790,32337,1.76,2.22,98.24,0.97,1.22,54.75,53.78
"7","G0900130",13251,94,46,1790,13205,0.35,0.71,99.65,0.13,0.27,38.43,38.29
"8","G0900150",28881,341,184,1790,28697,0.64,1.18,99.36,0.27,0.49,41.78,41.52
"9","G1000010",18920,2570,2300,1790,16620,12.16,13.58,87.84,3.9,4.36,32.12,28.21
"10","G1000030",19688,639,2562,1790,17126,13.01,3.25,86.99,5.8,1.45,44.55,38.75
"11","G1000050",20488,690,4025,1790,16463,19.65,3.37,80.35,4.24,0.73,21.56,17.33
"12","G1300330",9467,11,2392,1790,7075,25.27,0.12,74.73,1.4,0.01,5.56,4.15
"13","G1300390",305,14,70,1790,235,22.95,4.59,77.05,0.09,0.02,0.38,0.29
"14","G1300510",10769,112,8201,1790,2568,76.15,1.04,23.85,13.29,0.18,17.45,4.16
"15","G1301030",2424,0,750,1790,1674,30.94,0,69.06,0.38,0,1.23,0.85
"16","G1301190",1041,0,156,1790,885,14.99,0,85.01,0.09,0,0.63,0.54
"17","G1301270",413,5,215,1790,198,52.06,1.21,47.94,0.33,0.01,0.63,0.3
"18","G1301330",5405,8,1377,1790,4028,25.48,0.15,74.52,1.93,0.01,7.59,5.65
"19","G1301790",5355,27,4025,1790,1330,75.16,0.5,24.84,2.38,0.02,3.17,0.79
"20","G1302450",11317,39,4116,1790,7201,36.37,0.34,63.63,3.43,0.03,9.43,6
"21","G1303030",4552,2,694,1790,3858,15.25,0.04,84.75,0.18,0,1.19,1.01
"22","G1303170",31500,180,7268,1790,24232,23.07,0.57,76.93,3.42,0.08,14.84,11.41
"23","G2400010",4809,12,258,1790,4551,5.36,0.25,94.64,0.24,0.01,4.43,4.19
"24","G2400030",22598,804,10130,1790,12468,44.83,3.56,55.17,14.95,1.19,33.34,18.39
"25","G2400050",25434,604,5877,1790,19557,23.11,2.37,76.89,6.61,0.68,28.61,22
"26","G2400090",8652,136,4305,1790,4347,49.76,1.57,50.24,19.73,0.62,39.65,19.92
"27","G2400110",9506,421,2057,1790,7449,21.64,4.43,78.36,6.38,1.31,29.47,23.09
"28","G2400150",13625,163,3407,1790,10218,25.01,1.2,74.99,9.49,0.45,37.95,28.46
"29","G2400170",20613,404,10085,1790,10528,48.93,1.96,51.07,21.77,0.87,44.49,22.72
"30","G2400190",15875,528,5337,1790,10538,33.62,3.33,66.38,9.14,0.9,27.19,18.05
"31","G2400210",30791,213,3641,1790,27150,11.82,0.69,88.18,4.02,0.24,33.99,29.98
"32","G2400250",14976,775,3417,1790,11559,22.82,5.17,77.18,7.65,1.73,33.52,25.88
"33","G2400290",12836,655,5433,1790,7403,42.33,5.1,57.67,19.02,2.29,44.94,25.92
"34","G2400310",18003,294,6030,1790,11973,33.49,1.63,66.51,11.44,0.56,34.17,22.72
"35","G2400330",21344,164,11176,1790,10168,52.36,0.77,47.64,21.09,0.31,40.27,19.19
"36","G2400350",15463,618,6674,1790,8789,43.16,4,56.84,17.69,1.64,40.98,23.29
"37","G2400370",15544,343,6985,1790,8559,44.94,2.21,55.06,19.04,0.93,42.37,23.33
"38","G2400390",15610,268,7070,1790,8540,45.29,1.72,54.71,12.8,0.49,28.25,15.46
"39","G2400410",13084,1076,4777,1790,8307,36.51,8.22,63.49,17.36,3.91,47.56,30.2
"40","G2400430",15822,64,1286,1790,14536,8.13,0.4,91.87,2.75,0.14,33.84,31.09
"41","G2400470",11640,178,3836,1790,7804,32.96,1.53,67.04,5.99,0.28,18.17,12.18
"42","G2405100",13503,323,1255,1790,12248,9.29,2.39,90.71,91.45,23.54,983.98,892.53
"43","G2500010",17342,372,0,1790,17342,0,2.15,100,0,0.89,41.32,41.32
"44","G2500030",30263,323,0,1790,30263,0,1.07,100,0,0.34,31.4,31.4
"45","G2500050",31696,730,0,1790,31696,0,2.3,100,0,1.25,54.49,54.49
"46","G2500055",25530,179,0,1790,25530,0,0.7,100,0,0.05,6.74,6.74
"47","G2500070",3255,25,0,1790,3255,0,0.77,100,0,0.22,29.18,29.18
"48","G2500090",57879,872,0,1790,57879,0,1.51,100,0,1.69,111.89,111.89
"49","G2500150",59656,451,0,1790,59656,0,0.76,100,0,0.24,31.34,31.34
"50","G2500153",9542,38,0,1790,9542,0,0.4,100,0,0,0.75,0.75
"51","G2500157",29733,141,0,1790,29733,0,0.47,100,0,0.01,3.16,3.16
"52","G2500170",42769,592,0,1790,42769,0,1.38,100,0,0.7,50.24,50.24
"53","G2500190",4555,34,0,1790,4555,0,0.75,100,0,0.69,91.79,91.79
"54","G2500230",29512,499,0,1790,29512,0,1.69,100,0,0.75,44.26,44.26
"55","G2500250",44865,1062,0,1790,44865,0,2.37,100,0,2.17,91.76,91.76
"56","G2500255",2760,20,0,1790,2760,0,0.72,100,0,0.01,0.69,0.69
"57","G2500270",56764,409,0,1790,56764,0,0.72,100,0,0.26,36.42,36.42
"58","G2500275",29078,158,0,1790,29078,0,0.54,100,0,0.06,10.94,10.94
"59","G2509993",96643,536,0,1790,96643,0,0.55,100,,,,
"60","G2509997",378556,5369,0,1790,378556,0,1.42,100,,,,
"61","G3300050",28753,70,18,1790,28735,0.06,0.24,99.94,0.01,0.05,22.37,22.36
"62","G3300090",13468,28,21,1790,13447,0.16,0.21,99.84,0.01,0.01,3.41,3.41
"63","G3300110",32883,176,0,1790,32883,0,0.54,100,0,0.13,24.22,24.22
"64","G3300150",43184,292,97,1790,43087,0.22,0.68,99.78,0.09,0.26,38.12,38.03
"65","G3300170",23611,64,21,1790,23590,0.09,0.27,99.91,0.01,0.04,15.29,15.28
"66","G3400030",12601,192,2301,1790,10300,18.26,1.52,81.74,5.02,0.42,27.51,22.49
"67","G3400050",18095,598,227,1790,17868,1.25,3.3,98.75,0.25,0.66,19.96,19.71
"68","G3400090",2571,14,141,1790,2430,5.48,0.54,94.52,0.59,0.06,10.68,10.09
"69","G3400110",8248,138,120,1790,8128,1.45,1.67,98.55,0.23,0.26,15.76,15.53
"70","G3400130",17785,160,1171,1790,16614,6.58,0.9,93.42,4.52,0.62,68.67,64.15
"71","G3400150",13363,342,191,1790,13172,1.43,2.56,98.57,0.17,0.3,11.86,11.69
"72","G3400190",20153,191,1301,1790,18852,6.46,0.95,93.54,2.4,0.35,37.14,34.74
"73","G3400230",15956,140,1318,1790,14638,8.26,0.88,91.74,3.48,0.37,42.1,38.63
"74","G3400250",16918,353,1596,1790,15322,9.43,2.09,90.57,1.48,0.33,15.64,14.16
"75","G3400270",16216,48,636,1790,15580,3.92,0.3,96.08,1.32,0.1,33.69,32.37
"76","G3400330",10437,374,172,1790,10265,1.65,3.58,98.35,0.49,1.07,29.95,29.46
"77","G3400350",12296,147,1810,1790,10486,14.72,1.2,85.28,5.67,0.46,38.53,32.86
"78","G3400370",19500,65,439,1790,19061,2.25,0.33,97.75,0.49,0.07,21.7,21.21
"79","G3600010",75980,171,3722,1790,72258,4.9,0.23,95.1,1.14,0.05,23.2,22.07
"80","G3600190",1615,16,16,1790,1599,0.99,0.99,99.01,0,0,0.41,0.4
"81","G3600210",27496,52,1633,1790,25863,5.94,0.19,94.06,2.52,0.08,42.44,39.92
"82","G3600270",45276,431,1864,1790,43412,4.12,0.95,95.88,1.74,0.4,42.24,40.5
"83","G3600470",4549,46,1482,1790,3067,32.58,1.01,67.42,21.38,0.66,65.64,44.25
"84","G3600570",28852,41,588,1790,28264,2.04,0.14,97.96,0.03,0,1.37,1.34
"85","G3600610",33111,1119,2373,1790,30738,7.17,3.38,92.83,104.63,49.34,1459.9,1355.27
"86","G3600690",1074,6,10,1790,1064,0.93,0.56,99.07,0,0,0.21,0.21
"87","G3600710",18477,201,961,1790,17516,5.2,1.09,94.8,1.42,0.3,27.33,25.91
"88","G3600810",16013,819,2308,1790,13705,14.41,5.11,85.59,5.74,2.04,39.82,34.08
"89","G3600850",3827,127,755,1790,3072,19.73,3.32,80.27,12.84,2.16,65.08,52.24
"90","G3601030",16546,1131,1105,1790,15441,6.68,6.84,93.32,1.18,1.21,17.74,16.55
"91","G3601110",29370,161,2914,1790,26456,9.92,0.55,90.08,0.81,0.04,8.13,7.33
"92","G3601150",14077,3,46,1790,14031,0.33,0.02,99.67,0.03,0,8.84,8.81
"93","G3601190",23978,358,1416,1790,22562,5.91,1.49,94.09,2.87,0.73,48.61,45.74
"94","G3700070",5235,41,829,1790,4406,15.84,0.78,84.16,1,0.05,6.34,5.34
"95","G3700130",5405,128,1622,1790,3783,30.01,2.37,69.99,2.06,0.16,6.87,4.81
"96","G3700150",12462,378,5121,1790,7341,41.09,3.03,58.91,7.24,0.53,17.61,10.37
"97","G3700170",5100,58,1686,1790,3414,33.06,1.14,66.94,1.2,0.04,3.63,2.43
"98","G3700190",3070,3,1511,1790,1559,49.22,0.1,50.78,1.14,0,2.31,1.17
"99","G3700230",8106,9,600,1790,7506,7.4,0.11,92.6,0.24,0,3.25,3.01
"100","G3700290",4022,30,1038,1790,2984,25.81,0.75,74.19,4.29,0.12,16.63,12.33
"101","G3700310",3734,93,709,1790,3025,18.99,2.49,81.01,1.52,0.2,7.98,6.47
"102","G3700330",10096,72,2736,1790,7360,27.1,0.71,72.9,3.29,0.09,12.13,8.84
"103","G3700370",9161,10,1558,1790,7603,17.01,0.11,82.99,1.87,0.01,10.99,9.12
"104","G3700410",4988,41,2587,1790,2401,51.86,0.82,48.14,14.94,0.24,28.8,13.86
"105","G3700490",10474,337,3663,1790,6811,34.97,3.22,65.03,3.36,0.31,9.61,6.25
"106","G3700510",8730,83,2180,1790,6550,24.97,0.95,75.03,1.45,0.06,5.81,4.36
"107","G3700530",5220,115,1103,1790,4117,21.13,2.2,78.87,3.08,0.32,14.57,11.49
"108","G3700595",6994,46,2012,1790,4982,28.77,0.66,71.23,3.07,0.07,10.68,7.6
"109","G3700610",5663,3,1386,1790,4277,24.47,0.05,75.53,1.78,0,7.26,5.49
"110","G3700650",10265,70,3167,1790,7098,30.85,0.68,69.15,4.63,0.1,15.01,10.38
"111","G3700690",7502,37,2701,1790,4801,36,0.49,64,5.73,0.08,15.92,10.19
"112","G3700730",5386,93,2217,1790,3169,41.16,1.73,58.84,6.42,0.27,15.61,9.18
"113","G3700770",10982,315,4163,1790,6819,37.91,2.87,62.09,5.55,0.42,14.64,9.09
"114","G3700810",7300,27,616,1790,6684,8.44,0.37,91.56,0.94,0.04,11.1,10.16
"115","G3700830",14310,443,6697,1790,7613,46.8,3.1,53.2,9.16,0.61,19.57,10.41
"116","G3700910",5949,232,2448,1790,3501,41.15,3.9,58.85,6.83,0.65,16.6,9.77
"117","G3700950",4204,37,1143,1790,3061,27.19,0.88,72.81,1.26,0.04,4.64,3.38
"118","G3700970",5430,3,868,1790,4562,15.99,0.06,84.01,1.24,0,7.74,6.5
"119","G3701010",5691,65,1328,1790,4363,23.34,1.14,76.66,1.58,0.08,6.78,5.19
"120","G3701030",4796,70,1655,1790,3141,34.51,1.46,65.49,3.47,0.15,10.06,6.59
"121","G3701090",9246,0,855,1790,8391,9.25,0,90.75,0.68,0,7.33,6.65
"122","G3701170",6010,96,1829,1790,4181,30.43,1.6,69.57,3.95,0.21,12.97,9.02
"123","G3701190",11360,67,1608,1790,9752,14.15,0.59,85.85,1.27,0.05,8.98,7.71
