GISJOIN,YEAR,STATE,STATEA,COUNTY,COUNTYA,AREANAME,AEL001,AEL002,AEL003,AEL004,AEL005,AEL006,AEL007,AEL008,AEL009,AEL010,AEL011,AEL012,AEL013,AEL014,AEL015,AEL016,AEL017,AEL018,AEL019,AEL020,AEL021,AEL022,AEL023,AEL024,AEL025,AEL026,AEL027,AEL028,AEL029,AEL030,AEL031,AEL032,AEL033,AEL034,AEL035,AEL036,AEL037,AEL038,AEL039,AEL040,AEL041,AEL042,AEL043,AEL044,AEL045,AEL046,AEL047,AEL048,AEL049,AEL050,AEL051,AEL052,AEL053,AEL054,AEL055,AEL056,AEL057,AEL058,AEL059,AEL060,AEL061,AEL062,AEL063,AEL064,AEL065,AEL066,AEL067,AEL068,AEL069,AEL070,AEL071,AEL072,AEL073,AEL074,AEL075,AEL076,AEL077,AEL078,AEL079,AEL080,AEL081,AEL082,AEL083,AEL084,AEL085,AEL086,AEL087,AEL088,AEL089,AEL090,AEW001,AEW002,AEW003,AEW004,AEW005,AEW006,AE6001,AE6002,AE6003,ADR001,ADR002,ADV001,ADV002
"G0100010","1850","Alabama","010","Autauga","0010","Autauga",116,430,492,440,341,570,344,235,149,74,32,8,0,0,0,117,399,480,432,393,525,292,183,121,61,31,7,2,0,0,0,0,0,0,0,0,1,3,1,1,0,1,0,0,0,0,0,1,2,1,1,1,2,2,1,0,1,0,0,0,99,668,628,572,451,758,514,333,174,115,30,3,3,4,0,109,607,678,606,491,717,555,348,138,100,19,10,0,0,0,3231,3043,7,12,4352,4378,6274,19,8730,233,208,92,154
"G0100030","1850","Alabama","010","Baldwin","0030","Baldwin",28,154,181,116,91,195,174,115,63,30,11,1,1,0,1,32,148,150,122,87,183,105,63,26,14,6,1,0,2,0,0,7,4,6,8,5,5,3,3,1,0,0,0,0,0,0,6,8,8,7,10,4,5,5,1,0,0,0,0,0,37,136,163,136,111,230,168,114,67,36,10,6,1,1,0,23,175,142,130,100,174,116,72,41,21,4,3,1,0,0,1161,939,42,54,1216,1002,2100,96,2218,60,60,27,44
"G0100050","1850","Alabama","010","Barbour","0050","Barbour",238,993,1057,932,638,1076,722,486,270,141,39,10,1,0,0,193,967,1052,898,675,1044,625,441,203,95,28,14,3,1,0,1,0,0,0,0,1,1,2,0,2,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,194,810,810,730,562,957,545,310,193,104,30,12,2,3,0,186,909,805,741,637,992,595,337,167,108,26,10,3,2,0,6603,6239,7,3,5262,5518,12842,10,10780,432,380,99,111
"G0100055","1850","Alabama","010","Benton","0055","Benton",228,939,1140,997,808,1100,687,451,267,149,50,10,3,0,5,190,930,1137,932,759,1062,657,447,256,112,54,16,4,1,6,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,64,277,331,252,243,328,191,96,46,36,10,0,0,0,0,49,286,315,255,248,335,198,95,54,33,8,11,2,0,0,6834,6563,2,1,1874,1889,13397,3,3763,418,113,99,46
"G0100070","1850","Alabama","010","Bibb","0070","Bibb",92,522,576,531,447,620,327,247,161,70,29,17,3,0,0,100,519,584,455,444,598,304,196,131,59,40,20,5,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,3,0,0,0,0,0,0,0,0,0,38,241,254,217,174,248,126,78,41,27,4,1,0,0,0,45,207,246,207,176,235,135,93,41,21,5,1,0,0,0,3642,3455,4,7,1449,1412,7097,11,2861,192,83,65,43
"G0100090","1850","Alabama","010","Blount","0090","Blount",107,589,609,536,384,507,318,205,143,72,35,13,1,1,0,120,477,574,502,391,618,336,194,112,66,19,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,32,45,35,24,27,13,7,5,5,0,0,0,0,0,8,39,35,28,30,32,30,14,1,10,0,0,0,0,0,3520,3421,0,0,199,227,6941,0,426,227,14,42,3
"G0100130","1850","Alabama","010","Butler","0130","Butler",86,534,563,502,410,538,341,226,283,88,26,7,2,0,0,85,538,567,535,442,555,343,223,170,69,22,5,1,0,1,0,1,8,3,0,3,1,0,1,1,0,1,0,0,0,0,2,3,4,2,2,2,1,0,0,0,0,0,0,0,47,293,315,270,194,270,166,120,59,47,8,8,1,1,0,38,292,295,278,208,271,216,130,49,49,9,5,0,0,0,3606,3556,19,16,1799,1840,7162,35,3639,171,85,47,23
"G0100170","1850","Alabama","010","Chambers","0170","Chambers",196,936,1104,929,763,995,672,486,286,125,66,10,1,0,0,186,884,1042,898,747,1001,629,386,257,123,44,15,2,1,0,0,0,1,0,2,1,1,1,0,0,0,1,0,0,0,0,0,2,2,1,3,0,1,0,0,1,1,0,0,0,186,867,887,894,678,977,547,288,159,79,22,7,5,1,0,174,808,903,792,723,1011,532,341,146,95,22,9,3,2,0,6569,6215,7,11,5597,5561,12784,18,11158,382,360,90,130
"G0100190","1850","Alabama","010","Cherokee","0190","Cherokee",215,895,1010,880,695,990,609,454,241,121,57,11,2,0,0,176,836,979,844,740,1083,557,394,216,111,39,12,3,0,0,0,1,2,1,1,0,0,0,0,1,0,0,1,0,0,2,1,1,4,2,2,1,0,1,0,0,0,1,1,0,17,126,131,140,118,133,71,41,21,15,4,1,2,0,0,27,132,130,122,112,155,86,57,23,19,3,2,2,1,0,6180,5990,7,16,820,871,12170,23,1691,393,44,81,25
"G0100230","1850","Alabama","010","Choctaw","0230","Choctaw",64,358,409,330,236,407,280,185,105,59,8,9,1,0,0,56,321,359,320,262,370,216,135,84,36,7,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,302,293,292,200,352,243,112,59,44,17,6,1,0,0,37,280,272,233,233,320,223,117,47,38,11,1,0,1,0,2451,2169,0,0,1956,1813,4620,0,3769,120,72,49,19
