GISJOIN,YEAR,STATE,STATEA,COUNTY,COUNTYA,AREANAME,AH7001,AG9001,AG9002,AG9003,AG9004,AG9005,AG9006,AG9007,AG9008,AG9009,AG9010,AG9011,AG9012,AG9013,AG9014,AG9015,AG9016,AG9017,AG9018,AG9019,AG9020,AG9021,AHA001,AHB001,AHB002
"G0100010","1860","Alabama","010","Autauga","0010","Autauga",7132,66,56,31,33,25,27,26,22,17,75,53,49,35,20,17,14,10,0,0,0,0,576,9607,7132
"G0100030","1860","Alabama","010","Baldwin","0030","Baldwin",3816,51,22,21,20,25,16,8,14,13,29,20,16,8,6,13,5,2,0,0,0,0,289,3714,3816
"G0100050","1860","Alabama","010","Barbour","0050","Barbour",14662,154,104,109,77,68,68,47,32,34,157,58,86,50,34,33,19,12,1,0,0,0,1143,16150,14662
"G0100070","1860","Alabama","010","Bibb","0070","Bibb",8052,90,58,51,25,28,22,13,21,17,52,20,27,10,6,5,0,2,0,0,0,0,447,3842,8052
"G0100090","1860","Alabama","010","Blount","0090","Blount",10199,33,12,20,10,7,9,8,1,5,12,2,5,0,1,0,0,0,0,0,0,0,125,666,10199
"G0100130","1860","Alabama","010","Butler","0130","Butler",11304,126,75,59,69,50,42,28,32,37,87,49,53,20,11,9,1,0,0,0,0,0,748,6818,11304
"G0100150","1860","Alabama","010","Calhoun","0150","Calhoun",17197,129,71,49,37,46,33,28,15,23,55,28,27,16,6,3,1,0,0,0,0,0,567,4342,17197
"G0100170","1860","Alabama","010","Chambers","0170","Chambers",11365,250,167,109,90,85,74,57,43,40,149,78,74,40,18,13,11,0,0,0,0,0,1298,11849,11365
"G0100190","1860","Alabama","010","Cherokee","0190","Cherokee",15358,115,81,57,47,29,33,21,15,16,40,18,16,5,1,2,2,0,0,0,0,0,498,3002,15358
"G0100230","1860","Alabama","010","Choctaw","0230","Choctaw",6783,100,64,54,41,36,36,36,24,18,92,50,38,17,17,11,2,4,0,0,0,0,640,7094,6783
"G0100250","1860","Alabama","010","Clarke","0250","Clarke",7613,90,76,60,41,40,33,22,24,15,90,43,50,27,10,16,5,3,0,0,0,0,645,7436,7613
"G0100310","1860","Alabama","010","Coffee","0310","Coffee",8206,64,34,26,17,13,16,12,9,5,17,14,7,4,1,0,0,0,0,0,0,0,239,1417,8206
"G0100350","1860","Alabama","010","Conecuh","0350","Conecuh",6429,60,43,29,24,22,26,15,9,10,52,38,29,16,9,12,2,2,0,0,0,0,398,4882,6429
"G0100370","1860","Alabama","010","Coosa","0370","Coosa",14061,144,73,66,41,40,38,29,34,20,64,35,33,8,5,7,1,3,0,0,0,0,641,5212,14061
"G0100390","1860","Alabama","010","Covington","0390","Covington",5648,41,19,22,10,11,7,6,7,4,8,3,3,1,0,1,1,0,0,0,0,0,144,821,5648
"G0100450","1860","Alabama","010","Dale","0450","Dale",10388,84,45,30,28,14,16,17,13,10,28,18,9,1,0,0,1,0,0,0,0,0,314,1809,10388
"G0100470","1860","Alabama","010","Dallas","0470","Dallas",7865,125,112,81,97,46,56,53,38,35,163,107,118,67,47,58,43,30,2,2,0,0,1280,25760,7865
"G0100490","1860","Alabama","010","DeKalb","0490","Dekalb",9857,48,22,18,15,15,10,4,9,2,11,5,4,2,0,0,0,0,0,0,0,0,165,848,9857
"G0100570","1860","Alabama","010","Fayette","0570","Fayette",11147,87,49,33,23,21,18,15,18,11,39,9,6,0,1,0,0,0,0,0,0,0,330,1703,11147
"G0100590","1860","Alabama","010","Franklin","0590","Franklin",10132,75,35,43,39,34,23,19,17,18,61,33,46,23,16,12,17,8,0,0,0,0,519,8495,10132
"G0100630","1860","Alabama","010","Greene","0630","Greene",7261,101,75,68,72,46,47,43,42,33,154,97,106,74,44,33,43,29,7,1,0,0,1115,23598,7261
"G0100670","1860","Alabama","010","Henry","0670","Henry",10485,89,60,52,36,26,21,28,18,15,46,36,35,8,13,3,2,1,0,0,0,0,489,4433,10485
"G0100710","1860","Alabama","010","Jackson","0710","Jackson",14878,113,73,52,34,36,22,22,17,10,33,23,30,10,5,1,1,0,0,0,0,0,482,3405,14878
"G0100730","1860","Alabama","010","Jefferson","0730","Jefferson",9097,39,32,33,33,13,19,10,11,11,37,20,9,9,4,1,2,1,0,0,0,0,284,2649,9097
"G0100770","1860","Alabama","010","Lauderdale","0770","Lauderdale",10683,91,49,46,41,29,23,16,17,15,67,45,32,14,13,7,11,5,0,1,0,0,522,6737,10683
"G0100790","1860","Alabama","010","Lawrence","0790","Lawrence",7187,57,29,24,22,23,32,18,9,13,47,26,29,16,16,10,9,11,0,0,0,0,391,6788,7187
"G0100830","1860","Alabama","010","Limestone","0830","Limestone",7221,167,83,48,42,32,24,30,14,18,47,36,39,24,19,21,12,5,0,0,0,0,661,8085,7221
"G0100850","1860","Alabama","010","Lowndes","0850","Lowndes",8376,146,94,85,66,57,42,42,39,33,120,73,100,61,44,43,34,18,1,0,0,0,1098,19340,8376
"G0100870","1860","Alabama","010","Macon","0870","Macon",8626,84,74,58,53,51,55,47,44,32,144,79,115,63,47,45,18,9,2,0,0,0,1020,18176,8626
"G0100890","1860","Alabama","010","Madison","0890","Madison",11878,168,133,91,75,72,40,46,38,28,134,72,86,53,31,25,15,10,0,0,0,0,1117,14573,11878
"G0100910","1860","Alabama","010","Marengo","0910","Marengo",6762,92,65,52,38,54,41,38,44,22,106,72,69,65,34,54,48,41,7,2,0,0,944,24409,6762
"G0100930","1860","Alabama","010","Marion","0930","Marion",9899,63,20,20,17,15,8,9,4,6,23,9,5,4,1,0,0,0,0,0,0,0,204,1283,9899
"G0100950","1860","Alabama","010","Marshall","0950","Marshall",9651,51,28,29,10,13,14,12,8,4,18,16,10,3,4,3,1,0,0,0,0,0,224,1821,9651
"G0100970","1860","Alabama","010","Mobile","0970","Mobile",29755,439,291,168,149,113,115,82,72,49,144,67,54,17,9,7,5,4,0,0,0,0,1785,11376,29755
"G0100990","1860","Alabama","010","Monroe","0990","Monroe",6962,101,66,41,51,51,39,28,20,23,73,50,61,25,15,16,13,3,0,0,0,0,676,8705,6962
"G0101010","1860","Alabama","010","Montgomery","1010","Montgomery",12194,188,132,91,107,74,69,47,52,48,151,90,91,70,55,50,38,27,3,2,0,0,1385,23710,12194
"G0101030","1860","Alabama","010","Morgan","1030","Morgan",7629,77,54,29,32,32,21,13,16,15,34,22,20,8,7,8,2,1,0,0,0,0,391,3706,7629
"G0101050","1860","Alabama","010","Perry","1050","Perry",9518,143,96,64,69,36,40,54,48,34,108,76,93,45,30,53,42,14,0,0,0,0,1045,18206,9518
"G0101070","1860","Alabama","010","Pickens","1070","Pickens",10125,217,148,86,73,61,57,31,31,25,111,68,77,39,13,19,11,4,0,0,0,0,1071,12191,10125
"G0101090","1860","Alabama","010","Pike","1090","Pike",15650,174,115,111,77,64,61,43,37,31,99,66,67,24,17,10,3,0,0,0,0,0,999,8785,15650
"G0101110","1860","Alabama","010","Randolph","1110","Randolph",18155,119,56,50,37,28,31,16,14,9,29,8,6,3,0,0,0,0,0,0,0,0,406,1904,18155
"G0101130","1860","Alabama","010","Russell","1130","Russell",10954,162,96,96,50,64,49,41,33,35,110,65,84,61,30,34,25,8,0,1,0,0,1044,15638,10954
"G0101150","1860","Alabama","010","St Clair","1150","St Clair",9245,63,27,30,25,16,11,4,10,12,23,15,17,3,0,0,1,0,0,0,0,0,257,1768,9245
"G0101170","1860","Alabama","010","Shelby","1170","Shelby",8996,87,55,32,26,39,16,22,10,8,65,18,32,10,3,4,1,0,0,0,0,0,428,3622,8996
"G0101190","1860","Alabama","010","Sumter","1190","Sumter",5944,65,65,51,58,44,38,31,33,31,123,77,86,63,26,53,30,14,0,1,0,0,889,18091,5944
"G0101210","1860","Alabama","010","Talladega","1210","Talladega",14655,127,88,76,62,50,38,39,36,27,74,47,65,18,22,15,9,3,0,0,0,0,796,8865,14655
"G0101230","1860","Alabama","010","Tallapoosa","1230","Tallapoosa",17155,127,93,63,64,57,43,41,28,31,98,55,45,17,3,7,3,1,0,0,0,0,776,6672,17155
"G0101250","1860","Alabama","010","Tuscaloosa","1250","Tuscaloosa",13055,146,100,76,47,60,50,49,36,25,100,57,64,31,14,14,11,5,1,0,0,0,886,10145,13055
"G0101270","1860","Alabama","010","Walker","1270","Walker",7461,32,20,9,9,3,8,4,3,1,9,1,3,0,0,0,0,0,0,0,0,0,102,519,7461
"G0101290","1860","Alabama","010","Washington","1290","Washington",2175,32,15,15,12,10,9,5,8,7,17,11,14,8,3,8,3,2,0,0,0,0,179,2494,2175
"G0101310","1860","Alabama","010","Wilcox","1310","Wilcox",6821,112,110,90,58,61,42,36,37,35,115,86,82,57,37,34,32,20,0,0,0,0,1044,17797,6821
"G0101330","1860","Alabama","010","Winston","1330","Winston",3454,3,3,1,0,1,1,0,1,0,2,0,1,0,0,1,0,0,0,0,0,0,14,122,3454
