GISJOIN,YEAR,STATE,STATEA,COUNTY,COUNTYA,AREANAME,AAQ001,AAQ002,AAQ003,AAD001,AAD002,AAE001,AAE002,AAE003,AAE004,AAF001,AAF002,AAG001,AAG002,AAH001,AAH002,AAH003,AAH004,AAI001,AAJ001,AAL001,AAL002,AAL003,AAL004,AAL005,AAL006,AAL007,AAL008,AAL009,AAL010
"G0900010","1790","Connecticut","090","Fairfield","0010","Fairfield",318,799,35173,470,5942,470,0,5899,43,2798,32376,6.0,5.5,73.0,0,92.0,7.0,799,1.7,299,150,20,1,0,0,0,0,0,0
"G0900030","1790","Connecticut","090","Hartford","0030","Hartford",395,256,37498,157,6425,157,0,6372,53,1020,36494,6.5,5.7,24.0,0,968.0,8.0,256,1.6,101,44,10,2,0,0,0,0,0,0
"G0900050","1790","Connecticut","090","Litchfield","0050","Litchfield",313,203,38119,119,6444,119,0,6400,44,776,37392,6.5,5.8,18.0,0,975.0,7.0,203,1.7,70,41,6,2,0,0,0,0,0,0
"G0900070","1790","Connecticut","090","Middlesex","0070","Middlesex",144,192,18492,114,3168,113,1,3145,23,685,17790,6.1,5.7,34.0,0,958.0,7.0,192,1.7,71,38,4,1,0,0,0,0,0,0
"G0900090","1790","Connecticut","090","New Haven","0090","New Haven",434,387,29882,241,5771,241,0,5684,87,1306,28478,5.4,5.0,4.0,0,945.0,14.0,387,1.6,151,73,13,4,0,0,0,0,0,0
"G0900110","1790","Connecticut","090","New London","0110","New London",732,581,31605,329,5357,325,4,5231,126,2173,29397,6.7,5.6,57.0,1.0,920.0,22.0,581,1.8,193,127,9,0,0,0,0,0,0,0
"G0900130","1790","Connecticut","090","Tolland","0130","Tolland",94,46,13111,35,2104,34,1,2104,0,246,12857,7.2,6.1,16.0,0,984.0,0,46,1.3,27,7,1,0,0,0,0,0,0,0
"G0900150","1790","Connecticut","090","Windham","0150","Windham",341,184,28356,98,4102,98,0,4065,37,765,27588,7.8,6.8,23.0,0,968.0,9.0,184,1.9,68,25,3,2,0,0,0,0,0,0
"G1000010","1790","Delaware","100","Kent","0010","Kent",2570,2300,14050,,,,,,,,,,,,,,,,,,,,,,,,,,
"G1000030","1790","Delaware","100","New Castle","0030","New Castle",639,2562,16487,,,,,,,,,,,,,,,,,,,,,,,,,,
"G1000050","1790","Delaware","100","Sussex","0050","Sussex",690,4025,15773,,,,,,,,,,,,,,,,,,,,,,,,,,
"G1300330","1790","Georgia","130","Burke","0330","Burke",11,2392,7064,,,,,,,,,,,,,,,,,,,,,,,,,,
"G1300390","1790","Georgia","130","Camden","0390","Camden",14,70,221,,,,,,,,,,,,,,,,,,,,,,,,,,
"G1300510","1790","Georgia","130","Chatham","0510","Chatham",112,8201,2456,,,,,,,,,,,,,,,,,,,,,,,,,,
"G1301030","1790","Georgia","130","Effingham","1030","Effingham",0,750,1674,,,,,,,,,,,,,,,,,,,,,,,,,,
"G1301190","1790","Georgia","130","Franklin","1190","Franklin",0,156,885,,,,,,,,,,,,,,,,,,,,,,,,,,
"G1301270","1790","Georgia","130","Glynn","1270","Glynn",5,215,193,,,,,,,,,,,,,,,,,,,,,,,,,,
"G1301330","1790","Georgia","130","Greene","1330","Greene",8,1377,4020,,,,,,,,,,,,,,,,,,,,,,,,,,
"G1301790","1790","Georgia","130","Liberty","1790","Liberty",27,4025,1303,,,,,,,,,,,,,,,,,,,,,,,,,,
"G1302450","1790","Georgia","130","Richmond","2450","Richmond",39,4116,7162,,,,,,,,,,,,,,,,,,,,,,,,,,
"G1303030","1790","Georgia","130","Washington","3030","Washington",2,694,3856,,,,,,,,,,,,,,,,,,,,,,,,,,
"G1303170","1790","Georgia","130","Wilkes","3170","Wilkes",180,7268,24052,,,,,,,,,,,,,,,,,,,,,,,,,,
"G2400010","1790","Maryland","240","Allegany","0010","Allegany",12,258,4539,,,,,,,,,,,,,,,258,,,,,,,,,,,
"G2400030","1790","Maryland","240","Anne Arundel","0030","Anne Arundel",804,10130,11664,1096,1026,1084,12,962,64,5672,4910,5.2,5.1,511.0,6.0,453.0,30.0,10130,9.2,146,216,221,158,86,13,4,0,1,251
"G2400050","1790","Maryland","240","Baltimore","0050","Baltimore",604,5877,18953,1029,2468,1029,0,2400,68,6553,13595,6.4,5.7,294.0,0,686.0,19.0,5877,5.7,304,305,232,126,39,3,1,0,0,19
"G2400090","1790","Maryland","240","Calvert","0090","Calvert",136,4305,4211,,,,,,,,,,,,,,,4305,,,,,,,,,,,
"G2400110","1790","Maryland","240","Caroline","0110","Caroline",421,2057,7028,418,934,417,1,861,73,2424,4613,5.8,5.4,308.0,1.0,637.0,54.0,2057,4.9,126,149,87,43,12,1,0,0,0,0
"G2400150","1790","Maryland","240","Cecil","0150","Cecil",163,3407,10055,539,1367,538,1,1175,192,3337,6449,6.2,5.5,282.0,1.0,616.0,101.0,3407,6.3,146,172,132,57,29,3,0,0,0,0
"G2400170","1790","Maryland","240","Charles","0170","Charles",404,10085,10124,1221,808,1218,3,680,128,6636,3505,5.4,5.2,600.0,1.0,335.0,63.0,10085,8.3,247,317,295,243,107,11,1,0,0,0
"G2400190","1790","Maryland","240","Dorchester","0190","Dorchester",528,5337,10010,296,358,293,3,334,24,1688,1559,5.8,4.7,448.0,5.0,511.0,37.0,5337,18.0,72,99,58,43,24,0,0,0,0,0
"G2400210","1790","Maryland","240","Frederick","0210","Frederick",213,3641,26937,678,3699,677,1,3681,18,4572,22331,6.8,6.1,155.0,0,841.0,4.0,3641,5.4,214,234,129,73,26,1,1,0,0,0
"G2400250","1790","Maryland","240","Harford","0250","Harford",775,3417,10784,586,1453,586,0,1312,141,3645,7139,6.2,5.4,287.0,0,643.0,69.0,3417,5.8,148,194,150,71,20,3,0,0,0,0
"G2400290","1790","Maryland","240","Kent","0290","Kent",655,5433,6748,781,518,747,34,432,86,4149,2156,5.6,5.0,575.0,26.0,333.0,66.0,5433,7.0,142,219,192,125,38,1,0,0,0,64
"G2400310","1790","Maryland","240","Montgomery","0310","Montgomery",294,6030,11679,933,1144,933,0,1111,33,5384,6194,5.8,5.6,449.0,0,535.0,16.0,6030,6.5,203,257,277,159,35,2,0,0,0,0
"G2400330","1790","Maryland","240","Prince Georges","0330","Prince Georges",164,11176,10004,978,842,977,1,833,9,5364,4608,5.5,5.5,537.0,1.0,458.0,5.0,11176,11.4,156,265,208,197,122,24,4,2,0,0
"G2400350","1790","Maryland","240","Queen Anne's","0350","Queen Anne's",618,6674,8171,828,751,819,9,651,100,4875,3269,6.0,5.0,524.0,6.0,412.0,63.0,6674,8.1,180,230,209,140,58,9,2,0,0,0
"G2400370","1790","Maryland","240","St Mary's","0370","St Mary's",343,6985,8216,892,635,890,2,597,38,4939,3246,5.5,5.4,583.0,1.0,391.0,25.0,6985,7.8,199,265,204,149,61,12,1,1,0,0
"G2400390","1790","Maryland","240","Somerset","0390","Somerset",268,7070,8272,,,,,,,,,,,,,,,7070,,,,,,,,,,,
"G2400410","1790","Maryland","240","Talbot","0410","Talbot",1076,4777,7231,651,774,635,16,626,148,3887,3303,6.1,5.3,446.0,11.0,439.0,104.0,4777,7.3,181,195,136,97,29,9,2,0,0,2
"G2400430","1790","Maryland","240","Washington","0430","Washington",64,1286,14472,269,2176,269,0,2165,11,1784,12031,6.6,5.6,110.0,0,885.0,4.0,1286,4.8,90,98,55,20,4,2,0,0,0,0
