GISJOIN,YEAR,STATE,STATEA,COUNTY,COUNTYA,AREANAME,AAY001,AAY002
"G0900010","1800","Connecticut","090","Fairfield","0010","Fairfield",957,276
"G0900030","1800","Connecticut","090","Hartford","0030","Hartford",743,67
"G0900050","1800","Connecticut","090","Litchfield","0050","Litchfield",656,47
"G0900070","1800","Connecticut","090","Middlesex","0070","Middlesex",251,72
"G0900090","1800","Connecticut","090","New Haven","0090","New Haven",650,236
"G0900110","1800","Connecticut","090","New London","0110","New London",1236,209
"G0900130","1800","Connecticut","090","Tolland","0130","Tolland",203,9
"G0900150","1800","Connecticut","090","Windham","0150","Windham",634,35
"G1000010","1800","Delaware","100","Kent","0010","Kent",4246,1485
"G1000030","1800","Delaware","100","New Castle","0030","New Castle",2754,1838
"G1000050","1800","Delaware","100","Sussex","0050","Sussex",1268,2830
"G1100015","1800","District Of Columbia","110","District of Columbia (old)","0015","District of Columbia (old)",369,875
"G1300290","1800","Georgia","130","Bryan","0290","Bryan",2,2306
"G1300310","1800","Georgia","130","Bulloch","0310","Bulloch",15,269
"G1300330","1800","Georgia","130","Burke","0330","Burke",14,2967
"G1300390","1800","Georgia","130","Camden","0390","Camden",10,735
"G1300510","1800","Georgia","130","Chatham","0510","Chatham",224,9049
"G1300730","1800","Georgia","130","Columbia","0730","Columbia",16,3008
"G1301030","1800","Georgia","130","Effingham","1030","Effingham",0,762
"G1301050","1800","Georgia","130","Elbert","1050","Elbert",23,2816
"G1301190","1800","Georgia","130","Franklin","1190","Franklin",8,959
"G1301270","1800","Georgia","130","Glynn","1270","Glynn",3,1092
"G1301330","1800","Georgia","130","Greene","1330","Greene",7,3657
"G1301410","1800","Georgia","130","Hancock","1410","Hancock",16,4835
"G1301570","1800","Georgia","130","Jackson","1570","Jackson",8,1400
"G1301630","1800","Georgia","130","Jefferson","1630","Jefferson",34,1642
"G1301790","1800","Georgia","130","Liberty","1790","Liberty",27,3940
"G1301810","1800","Georgia","130","Lincoln","1810","Lincoln",7,1433
"G1301910","1800","Georgia","130","McIntosh","1910","Mcintosh",10,1819
"G1302090","1800","Georgia","130","Montgomery","2090","Montgomery",3,435
"G1302210","1800","Georgia","130","Oglethorpe","2210","Oglethorpe",5,3089
"G1302450","1800","Georgia","130","Richmond","2450","Richmond",54,2691
