GISJOIN,YEAR,STATE,STATEA,COUNTY,COUNTYA,AREANAME,ABK001,ABK002,ABK003,ABK004,ABK005,ABK006,ABK007,ABK008,ABK009,ABK010,ABK011,ABK012,ABK013,ABK014,ABK015,ABK016,ABL001,ABB001,ABB002,ABB003,ABB004,ABB005,ABB006
"G0100010","1820","Alabama","010","Autauga","0010","Autauga",387,272,164,33,344,239,170,38,0,2,0,0,1,0,0,0,0,1183,1020,856,791,2,1
"G0100030","1820","Alabama","010","Baldwin","0030","Baldwin",218,134,117,47,231,139,84,31,9,6,12,5,11,8,6,4,0,359,292,516,485,32,29
"G0100090","1820","Alabama","010","Blount","0090","Blount",40,22,11,4,55,27,14,2,0,0,0,0,0,0,0,1,0,1151,1088,77,98,0,1
"G0100130","1820","Alabama","010","Butler","0130","Butler",126,84,54,14,129,97,55,10,0,1,0,0,0,0,0,0,0,451,384,278,291,1,0
"G0100135","1820","Alabama","010","Cahawba","0135","Cahawba",184,108,63,18,168,111,77,17,0,0,0,0,0,0,0,0,0,1551,1379,373,373,0,0
"G0100250","1820","Alabama","010","Clarke","0250","Clarke",476,264,195,71,471,317,184,57,4,6,5,3,2,4,2,0,0,2030,1748,1006,1029,18,8
"G0100350","1820","Alabama","010","Conecuh","0350","Conecuh",475,279,173,44,448,278,191,43,2,3,0,3,2,0,2,1,0,2021,1748,971,960,8,5
"G0100375","1820","Alabama","010","Cotaco","0375","Cotaco",202,130,78,22,183,135,83,25,3,2,0,1,3,1,1,0,0,2243,2151,432,426,6,5
"G0100470","1820","Alabama","010","Dallas","0470","Dallas",587,417,307,87,571,372,247,89,0,0,1,0,1,0,0,0,0,1851,1473,1398,1279,1,1
"G0100590","1820","Alabama","010","Franklin","0590","Franklin",353,298,147,45,378,253,149,44,6,1,2,1,0,0,1,2,0,1818,1490,843,824,10,3
"G0100630","1820","Alabama","010","Greene","0630","Greene",430,229,150,25,413,260,152,32,0,0,1,0,0,0,0,1,0,1543,1318,834,857,1,1
"G0100670","1820","Alabama","010","Henry","0670","Henry",169,82,48,27,146,97,50,7,0,0,1,0,0,0,0,0,0,1133,878,326,300,1,0
"G0100710","1820","Alabama","010","Jackson","0710","Jackson",155,70,34,12,141,72,40,15,22,14,7,6,19,12,2,1,0,4220,3909,271,268,49,34
"G0100770","1820","Alabama","010","Lauderdale","0770","Lauderdale",312,332,126,58,248,172,97,33,6,1,1,6,9,3,2,1,0,1856,1700,828,550,14,15
"G0100790","1820","Alabama","010","Lawrence","0790","Lawrence",691,418,313,92,656,437,223,111,9,6,5,5,10,2,1,2,0,3032,2639,1514,1427,25,15
"G0100830","1820","Alabama","010","Limestone","0830","Limestone",687,410,281,134,609,433,276,89,12,4,5,5,0,1,2,1,0,3630,3292,1512,1407,26,4
"G0100890","1820","Alabama","010","Madison","0890","Madison",1931,1378,1007,269,1834,1202,781,220,13,5,4,6,1,4,8,5,0,4805,4008,4585,4037,28,18
"G0100910","1820","Alabama","010","Marengo","0910","Marengo",203,119,93,35,173,133,86,24,1,3,4,0,2,4,1,0,0,1117,935,450,416,8,7
"G0100970","1820","Alabama","010","Mobile","0970","Mobile",146,122,150,31,132,147,88,20,28,28,19,8,31,29,26,14,0,1105,548,449,387,83,100
"G0100990","1820","Alabama","010","Monroe","0990","Monroe",877,591,354,120,867,536,374,75,8,2,4,2,7,1,4,2,0,2694,2320,1942,1852,16,14
"G0101010","1820","Alabama","010","Montgomery","1010","Montgomery",577,437,282,121,573,407,202,56,1,1,1,3,1,0,0,1,0,2094,1847,1417,1238,6,2
"G0101050","1820","Alabama","010","Perry","1050","Perry",225,160,98,28,205,157,97,18,0,2,1,0,0,0,0,1,0,1429,1225,511,477,3,1
"G0101150","1820","Alabama","010","St Clair","1150","St Clair",156,74,32,15,134,91,40,11,3,0,1,0,1,0,1,0,0,1920,1687,277,276,4,2
"G0101170","1820","Alabama","010","Shelby","1170","Shelby",93,63,37,10,91,73,29,9,0,0,0,0,0,0,0,0,0,1063,948,203,202,0,0
"G0101250","1820","Alabama","010","Tuscaloosa","1250","Tuscaloosa",566,387,171,52,549,352,198,60,0,0,0,0,0,0,0,0,0,3101,2793,1176,1159,0,0
"G0101290","1820","Alabama","010","Washington","1290","Washington",340,297,222,53,321,198,154,46,8,2,0,1,4,2,1,0,0,1450,1019,912,719,11,7
"G0101310","1820","Alabama","010","Wilcox","1310","Wilcox",315,261,126,58,252,198,112,32,0,4,0,0,0,2,0,1,0,900,656,760,594,4,3
"G0550015","1820","Arkansas Territory","055","Arkansas","0015","Arkansas",50,20,9,7,40,30,16,6,1,2,2,0,0,0,0,1,0,642,434,86,92,5,1
"G0550055","1820","Arkansas Territory","055","Clark","0055","Clark",15,9,9,4,15,7,4,7,0,0,0,0,0,0,0,0,0,522,448,37,33,0,0
"G0550135","1820","Arkansas Territory","055","Hempstead","0135","Hempstead",63,99,57,28,50,96,55,33,5,4,2,1,0,0,0,0,2,925,828,247,234,12,0
"G0550275","1820","Arkansas Territory","055","Lawrence","0275","Lawrence",105,84,40,28,97,70,48,18,8,3,5,1,7,3,1,1,10,2747,2326,257,233,17,12
"G0550295","1820","Arkansas Territory","055","Miller","0295","Miller",18,15,5,2,16,16,5,5,0,0,0,0,0,0,0,0,0,518,399,40,42,0,0
"G0550335","1820","Arkansas Territory","055","Phillips","0335","Phillips",36,20,10,5,30,25,14,5,0,0,0,0,0,0,0,0,4,603,449,71,74,0,0
