GISJOIN,YEAR,STATE,STATEA,COUNTY,COUNTYA,AREANAME,ABX001,ABX002,ABX003,ABX004,ABX005,ABX006,ABX007,ABX008,ABX009,ABX010,ABX011,ABX012,ABX013,ABX014,ABX015,ABX016,ABX017,ABX018,ABX019,ABX020,ABX021,ABX022,ABX023,ABX024,ABO001,ABO002,ABO003,ABO004,ABO005,ABO006,ABQ001,ABQ002
"G0100010","1830","Alabama","010","Autauga","0010","Autauga",1108,1081,574,223,57,0,1054,1085,524,220,63,1,4,2,5,1,0,0,3,0,1,0,1,0,3208,2659,3043,2947,12,5,5990,17
"G0100030","1830","Alabama","010","Baldwin","0030","Baldwin",182,200,159,90,25,0,201,189,118,78,19,2,23,12,5,6,1,0,13,17,8,4,7,0,588,377,656,607,47,49,1263,96
"G0100070","1830","Alabama","010","Bibb","0070","Bibb",227,199,70,46,8,0,265,210,108,47,12,0,1,0,0,0,0,0,0,0,0,0,0,0,2690,2423,550,642,1,0,1192,1
"G0100090","1830","Alabama","010","Blount","0090","Blount",74,55,16,11,3,0,59,66,25,19,2,0,6,4,3,0,0,0,4,2,2,0,0,0,1967,1915,159,171,13,8,330,21
"G0100130","1830","Alabama","010","Butler","0130","Butler",328,264,152,79,28,1,325,288,178,79,17,0,1,3,1,0,1,0,0,0,0,0,1,0,2017,1887,852,887,6,1,1739,7
"G0100250","1830","Alabama","010","Clarke","0250","Clarke",615,592,321,222,73,1,630,667,337,161,53,0,1,1,5,4,4,0,2,5,1,5,1,0,2045,1849,1824,1848,15,14,3672,29
"G0100350","1830","Alabama","010","Conecuh","0350","Conecuh",698,609,297,190,39,2,648,592,333,152,55,3,2,0,3,1,0,0,3,2,1,1,1,0,2033,1779,1835,1783,6,8,3618,14
"G0100390","1830","Alabama","010","Covington","0390","Covington",80,63,25,12,9,0,74,67,38,24,3,1,2,0,0,0,0,0,3,2,1,0,0,0,612,506,189,207,2,6,396,8
"G0100450","1830","Alabama","010","Dale","0450","Dale",52,48,20,7,2,0,48,52,21,15,4,0,0,1,1,0,0,0,2,1,0,0,0,0,939,818,129,140,2,3,269,5
"G0100470","1830","Alabama","010","Dallas","0470","Dallas",1297,1198,713,328,87,1,1324,1182,661,294,75,0,15,3,8,4,1,0,15,9,6,2,0,0,3636,3158,3624,3536,31,32,7160,63
"G0100570","1830","Alabama","010","Fayette","0570","Fayette",118,77,31,10,2,0,98,100,56,19,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1604,1431,238,274,0,0,512,0
"G0100590","1830","Alabama","010","Franklin","0590","Franklin",922,837,530,214,59,0,882,836,459,202,46,1,3,1,3,5,0,0,4,2,1,1,1,0,3180,2889,2562,2426,12,9,4988,21
