GISJOIN,STATE,STATEA,COUNTY,COUNTYA,A00AA1790,A00AA1800,A00AA1810,A00AA1820,A00AA1830,A00AA1840,A00AA1850,A00AA1860,A00AA1870,A00AA1880,A00AA1890,A00AA1900,A00AA1910,A00AA1920,A00AA1930,A00AA1940,A00AA1950,A00AA1960,A00AA1970,A00AA1980,A00AA1990,A00AA2000,A00AA2010
"G0100010","Alabama","010","Autauga County","0010",,,,3853,11874,14342,15023,16739,11623,13108,13330,17915,20038,18908,19694,20977,18186,18739,24460,32259,34222,43671,54571
"G0100015","Alabama","010","Baker County","0015",,,,,,,,,6194,,,,,,,,,,,,,,
"G0100030","Alabama","010","Baldwin County","0030",,,,1713,2324,2951,4414,7530,6004,8603,8941,13194,18178,20730,28289,32324,40997,49088,59382,78556,98280,140415,182265
"G0100050","Alabama","010","Barbour County","0050",,,,,,12024,23632,30812,29309,33979,34898,35152,32728,32067,32425,32722,28892,24700,22543,24756,25417,29038,27457
"G0100055","Alabama","010","Benton County","0055",,,,,,14260,17163,,,,,,,,,,,,,,,,
"G0100070","Alabama","010","Bibb County","0070",,,,,6306,8284,9969,11894,7469,9487,13824,18498,22791,23144,20780,20155,17987,14357,13812,15723,16576,20826,22915
"G0100090","Alabama","010","Blount County","0090",,,,2415,4233,5570,7367,10865,9945,15369,21927,23119,21456,25538,28020,29490,28975,25449,26853,36459,39248,51024,57322
"G0100110","Alabama","010","Bullock County","0110",,,,,,,,,24474,29066,27063,31944,30196,25333,20016,19810,16054,13462,11824,10596,11042,11714,10914
"G0100130","Alabama","010","Butler County","0130",,,,1405,5650,8685,10836,18122,14981,19649,21641,25761,29030,29531,30195,32447,29228,24560,22007,21680,21892,21399,20947
"G0100135","Alabama","010","Cahawba County","0135",,,,3676,,,,,,,,,,,,,,,,,,,
"G0100150","Alabama","010","Calhoun County","0150",,,,,,,,21539,13980,19591,33835,34874,39115,47822,55611,63319,79539,95878,103092,119761,116034,112249,118572
"G0100170","Alabama","010","Chambers County","0170",,,,,,17333,23960,23214,17562,23440,26319,32554,36056,41201,39313,42146,39528,37828,36356,39191,36876,36583,34215
"G0100190","Alabama","010","Cherokee County","0190",,,,,,8773,13884,18360,11132,19108,20459,21096,20226,20862,20219,19928,17634,16303,15606,18760,19543,23988,25989
"G0100210","Alabama","010","Chilton County","0210",,,,,,,,,,10793,14549,16522,23187,22770,24579,27955,26922,25693,25180,30612,32458,39593,43643
"G0100230","Alabama","010","Choctaw County","0230",,,,,,,8389,13877,12676,15731,17526,18136,18483,20753,20513,20195,19152,17870,16589,16839,16018,15922,13859
"G0100250","Alabama","010","Clarke County","0250",,,,5839,7595,8640,9786,15049,14663,17806,22624,27790,30987,26409,26016,27636,26548,25738,26724,27702,27240,27867,25833
"G0100270","Alabama","010","Clay County","0270",,,,,,,,,9560,12938,15765,17099,21006,22645,17768,16907,13929,12400,12636,13703,13252,14254,13932
"G0100290","Alabama","010","Cleburne County","0290",,,,,,,,,8017,10976,13218,13206,13385,13360,12877,13629,11904,10911,10996,12595,12730,14123,14972
"G0100310","Alabama","010","Coffee County","0310",,,,,,,5940,9623,6171,8119,12170,20972,26119,30070,32556,31987,30720,30583,34872,38533,40240,43615,49948
"G0100330","Alabama","010","Colbert County","0330",,,,,,,,,12537,16153,20189,22341,24802,31997,29860,34093,39561,46506,49632,54519,51666,54984,54428
"G0100350","Alabama","010","Conecuh County","0350",,,,5713,7444,8197,9322,11311,9574,12605,14594,17514,21433,24593,25429,25489,21776,17762,15645,15884,14054,14089,13228
"G0100370","Alabama","010","Coosa County","0370",,,,,,6995,14543,19273,11945,15113,15906,16144,16634,14839,12460,13460,11766,10726,10662,11377,11063,12202,11539
"G0100375","Alabama","010","Cotaco County","0375",,,,5263,,,,,,,,,,,,,,,,,,,
